# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	35298
#@/user_id	527937a2-03e0-4f4e-be0c-19d4f0f5bc3e
a 	啊	c=205 d=1.40275 t=35298
chai qian 	拆遷	c=9 d=2.43757e-08 t=35298
chan 	饞	c=3 d=8.0167e-10 t=35298
chan pin 	產品	c=15 d=0.597501 t=35298
chan pin jing li 	產品經理	c=1 d=1.06712e-29 t=35298
chan sheng 	產生	c=1 d=5.17642e-19 t=35298
chan zi 	鏟子	c=1 d=0.0010701 t=35298
chang 	場	c=1 d=1 t=34100
chang 	廠	c=1 d=5.93392e-08 t=35298
chang 	長	c=3 d=4.38608e-11 t=35298
chang chuan 	長傳	c=0 d=6.55684e-07 t=35298
chang du 	長度	c=13 d=0.0542114 t=35298
chang jian 	唱見	c=1 d=1.99881e-30 t=35298
chang qi 	長期	c=2 d=0.00245409 t=35298
chang shi 	嘗試	c=4 d=0.0314298 t=35298
chang shi jian 	長時間	c=1 d=0.0468877 t=35298
chang tu 	長途	c=2 d=2.62811e-28 t=35298
chang yong 	常用	c=2 d=1.19077e-17 t=35298
chao 	吵	c=1 d=9.69425e-18 t=35298
chao 	炒	c=2 d=0.279431 t=35298
chao 	超	c=1 d=1.03418e-13 t=35298
chao cai 	炒菜	c=1 d=1.06238e-06 t=35298
chao dai 	朝代	c=1 d=3.70163e-15 t=35298
chao di 	抄底	c=1 d=2.60896e-17 t=35298
chao fan 	炒飯	c=1 d=9.80699e-07 t=35298
chao guo 	超過	c=7 d=0.00022733 t=35298
chao ji 	超級	c=3 d=0.000115643 t=35298
chao jia 	吵架	c=1 d=1 t=32466
chao nao 	吵鬧	c=1 d=1 t=32467
chao qian 	超前	c=1 d=7.42458e-27 t=35298
chao shi 	超市	c=3 d=0.000534111 t=35298
chao shi 	超時	c=2 d=1.61263 t=32886
chao xi 	抄襲	c=2 d=0.268097 t=35298
che 	撤	c=3 d=7.23791e-13 t=35298
che 	車	c=4 d=0.00366107 t=35298
che ba 	撤吧	c=1 d=3.72666e-06 t=35298
che hui 	撤回	c=2 d=5.66558e-36 t=35298
che pi 	扯皮	c=1 d=0.00145173 t=35298
che piao 	車票	c=2 d=6.19641e-06 t=35298
che shang 	車上	c=1 d=5.262e-06 t=35298
che tui 	撤退	c=1 d=0.0148464 t=35298
che xiang 	車廂	c=1 d=0.000343955 t=35298
che xiao 	撤銷	c=1 d=8.02791e-05 t=35298
che zhan 	車站	c=1 d=0.236928 t=35298
chen jin 	沉浸	c=1 d=1.26663e-16 t=35298
cheng 	城	c=1 d=2.91835e-12 t=35298
cheng 	成	c=11 d=0.00278759 t=35298
cheng 	撐	c=1 d=1.03791e-26 t=35298
cheng 	橙	c=1 d=3.001e-17 t=35298
cheng 	稱	c=1 d=0.024972 t=35298
cheng bao 	承包	c=1 d=1.01301e-05 t=35298
cheng ben 	成本	c=2 d=9.68601e-09 t=35298
cheng du 	成都	c=1 d=1.13489e-18 t=35298
cheng du 	程度	c=1 d=2.07255e-15 t=35298
cheng feng po lang 	乘風破浪	c=1 d=0.000357992 t=35298
cheng gong 	成功	c=32 d=0.969275 t=35298
cheng guo 	成果	c=1 d=1 t=31544
cheng ren 	成人	c=3 d=1.2021e-09 t=35298
cheng ren 	承認	c=1 d=0.000850233 t=35298
cheng shi 	城市	c=1 d=4.28667e-06 t=35298
cheng wei 	成爲	c=1 d=1.49772e-17 t=35298
cheng xu 	程序	c=1 d=5.78524e-33 t=35298
cheng xu yuan 	程序員	c=12 d=0.0240085 t=35298
cheng yu 	成語	c=1 d=0.250324 t=35298
cheng yuan 	成員	c=1 d=4.36495e-13 t=35298
cheng zhang 	成長	c=1 d=8.48613e-11 t=35298
cheng zhe 	撐着	c=1 d=2.44392e-13 t=35298
cheng zhong cun 	城中村	c=1 d=6.99698e-35 t=35298
chi 	吃	c=39 d=0.0721834 t=35298
chi 	池	c=1 d=1 t=34719
chi 	遲	c=1 d=5.53273e-08 t=35298
chi bang 	翅膀	c=2 d=0.00701292 t=35298
chi bao 	吃飽	c=1 d=2.41961e-13 t=35298
chi bu qi 	吃不起	c=2 d=1.67045e-07 t=35298
chi cu 	吃醋	c=1 d=1.82647e-28 t=35298
chi cun 	尺寸	c=3 d=6.02358e-08 t=35298
chi dao 	遲到	c=2 d=0.000135709 t=35298
chi de 	吃得	c=1 d=2.3939e-05 t=35298
chi dian 	吃點	c=1 d=6.05274e-06 t=35298
chi du 	赤毒	c=12 d=8.02791e-05 t=35298
chi duo 	吃多	c=1 d=6.21228e-18 t=35298
chi fan 	吃飯	c=6 d=0.00765257 t=35298
chi jiu li 	持久力	c=2 d=0.0160829 t=35298
chi kui 	吃虧	c=2 d=3.26833e-09 t=35298
chi ni 	吃膩	c=1 d=0.00951391 t=35298
chi sha 	吃啥	c=6 d=1.57291e-05 t=35298
chi tu 	吃土	c=1 d=5.39503e-35 t=35298
chi xu 	持續	c=3 d=0.343009 t=35298
chi yi qian 	吃一塹	c=1 d=5.83143e-09 t=35298
chi you 	持有	c=2 d=6.54657e-09 t=35298
chi zao 	遲早	c=1 d=1.52694e-09 t=35298
chong 	充	c=14 d=0.565451 t=35298
chong 	衝	c=1 d=2.06613e-08 t=35298
chong 	重	c=10 d=0.774979 t=35298
chong ci 	衝刺	c=2 d=3.32182e-06 t=35298
chong dian 	充電	c=7 d=0.369113 t=35298
chong dian qi 	充電器	c=1 d=0.00111936 t=35298
chong er bu wen 	充耳不聞	c=1 d=1.46502e-22 t=35298
chong fu 	重複	c=16 d=0.0650249 t=35298
chong ming ming 	重命名	c=1 d=1 t=31542
chong qi 	重啓	c=3 d=0.00140882 t=35298
chong tu 	衝突	c=5 d=4.80979e-36 t=35298
chong wu 	寵物	c=1 d=1.62246e-17 t=35298
chong xie 	重寫	c=4 d=1.20695e-07 t=35298
chong xin 	重新	c=31 d=0.449333 t=35298
chong yu 	充裕	c=1 d=6.26176e-23 t=35298
chong zai 	重載	c=1 d=0.357007 t=35298
chong zhi 	充值	c=12 d=0.000382036 t=35298
chong zhi 	重置	c=4 d=0.00123722 t=35298
chong zhuang 	重裝	c=2 d=0.00281106 t=35298
chong zi 	🐛	c=1 d=2.35257e-06 t=35298
chong zu 	充足	c=1 d=4.00858e-11 t=35298
chou 	丑	c=1 d=0.120032 t=35298
chou 	抽	c=2 d=0.101266 t=35298
chou 	瞅	c=1 d=1.24388e-38 t=35298
chou 	臭	c=1 d=4.43016e-11 t=35298
chou cheng 	抽成	c=1 d=2.62882e-18 t=35298
chou jiang 	抽獎	c=1 d=6.81722e-23 t=35298
chou ti 	抽屜	c=2 d=2.73882e-06 t=35298
chou ti ou niao 	抽屜鷗鳥	c=1 d=1.36961e-06 t=35298
chou yan 	抽菸	c=1 d=2.14491e-07 t=35298
chu 	出	c=51 d=1.11353 t=35298
chu 	初	c=1 d=9.70748e-34 t=35298
chu 	處	c=1 d=2.61882e-32 t=35298
chu bu 	初步	c=1 d=1.93611e-08 t=35298
chu chang 	出廠	c=2 d=2.08807e-37 t=35298
chu cun 	儲存	c=1 d=0.00408677 t=35298
chu cuo 	出錯	c=1 d=2.7333e-06 t=35298
chu fa 	出發	c=1 d=5.72572e-29 t=35298
chu fa 	觸發	c=5 d=0.924759 t=35298
chu fei 	除非	c=6 d=1.00293e-05 t=35298
chu gan 	觸感	c=1 d=1.85823e-25 t=35298
chu ge 	出個	c=1 d=1.69541e-05 t=35298
chu ji 	出擊	c=1 d=6.9718e-22 t=35298
chu ji 	初級	c=1 d=0.000114493 t=35298
chu jia 	出嫁	c=1 d=0.00259284 t=35298
chu jue 	處決	c=1 d=0.000274653 t=35298
chu kong 	觸控	c=1 d=7.78379e-24 t=35298
chu kong ban 	觸控板	c=1 d=3.98993e-15 t=35298
chu kou 	出口	c=1 d=1.74973e-23 t=35298
chu lai 	出來	c=10 d=0.683896 t=35298
chu lai 	初來	c=1 d=3.39827e-09 t=35298
chu le 	出了	c=5 d=3.80194e-06 t=35298
chu le 	除了	c=4 d=1.66212e-07 t=35298
chu le ni 	除了你	c=1 d=2.09772e-10 t=35298
chu li 	處理	c=10 d=0.479913 t=35298
chu ming 	出名	c=1 d=2.17732e-07 t=35298
chu mo 	觸摸	c=1 d=1.97791e-24 t=35298
chu qu 	出去	c=5 d=0.0263257 t=35298
chu qu 	除去	c=1 d=2.63382e-11 t=35298
chu ru 	出入	c=1 d=5.84435e-35 t=35298
chu sheng 	出生	c=4 d=0.000685769 t=35298
chu shi 	初十	c=1 d=1.15106e-08 t=35298
chu shi hua 	初始化	c=10 d=0.000269332 t=35298
chu tai 	出臺	c=1 d=1.51123e-05 t=35298
chu wen ti 	出問題	c=1 d=8.05418e-14 t=35298
chu xi 	出席	c=1 d=1.63371e-10 t=35298
chu xian 	出現	c=4 d=0.00210172 t=35298
chu xu 	儲蓄	c=3 d=0.0159905 t=35298
chu xu ka 	储蓄卡	c=3 d=1.08646e-05 t=35298
chu yu 	處於	c=1 d=0.00491728 t=35298
chu zhong 	初中	c=2 d=0.000166629 t=35298
chuan 	串	c=1 d=4.69116e-08 t=35298
chuan 	傳	c=5 d=0.377192 t=35298
chuan 	川	c=1 d=1.25317e-08 t=35298
chuan bo 	傳播	c=1 d=2.37653e-37 t=35298
chuan dai 	穿戴	c=1 d=1.43777e-07 t=35298
chuan dao 	傳到	c=1 d=2.14637e-15 t=35298
chuan di 	傳遞	c=4 d=0.0274488 t=35298
chuan liu 	川流	c=1 d=3.1538e-13 t=35298
chuan qi 	傳奇	c=1 d=1.45544e-33 t=35298
chuan qiang 	穿牆	c=1 d=0.00603608 t=35298
chuan shuo 	傳說	c=1 d=6.85961e-37 t=35298
chuan song 	傳送	c=1 d=1.6782e-32 t=35298
chuan tong 	傳統	c=1 d=0.431711 t=35298
chuan xiao 	傳銷	c=2 d=8.03234e-11 t=35298
chuan zhi 	传值	c=4 d=1.36469e-07 t=35298
chuang 	創	c=1 d=5.11883e-05 t=35298
chuang 	牀	c=1 d=1.45821e-26 t=35298
chuang 	窗	c=2 d=3.14511e-10 t=35298
chuang hu 	窗戶	c=3 d=7.97133e-10 t=35298
chuang jian 	創建	c=28 d=0.782354 t=35298
chuang jian ding dan 	創建訂單	c=1 d=1 t=33704
chuang jian ri qi 	创建日期	c=2 d=2.28572e-05 t=35298
chuang kou 	創口	c=1 d=5.40825e-05 t=35298
chuang kou 	窗口	c=11 d=1.10217 t=35298
chuang kou kui lan 	创口溃烂	c=1 d=5.4626e-05 t=35298
chuang sha 	窗紗	c=1 d=2.86799e-13 t=35298
chuang shang 	牀上	c=1 d=1.98505e-37 t=35298
chuang ye 	創業	c=3 d=0.0165727 t=35298
chuang yi 	創意	c=23 d=2.78231 t=35297
chui 	吹	c=1 d=7.69714e-10 t=35298
chui zhi 	垂直	c=1 d=6.23813e-08 t=35298
chun ai 	純愛	c=1 d=4.87663e-23 t=35298
chun cui 	純粹	c=1 d=0.313486 t=35298
ci 	此	c=24 d=0.332597 t=35298
ci 	詞	c=4 d=5.13293e-08 t=35298
ci 	辭	c=1 d=3.90747e-34 t=35298
ci dian 	詞典	c=2 d=1.26495e-22 t=35298
ci hou 	伺候	c=1 d=2.53228e-19 t=35298
ci hui 	詞彙	c=2 d=7.95073e-09 t=35298
ci ji 	刺激	c=2 d=7.96862e-06 t=35298
ci ku 	詞庫	c=11 d=2.52409 t=35298
ci li 	磁力	c=5 d=3.61597e-05 t=35298
ci qiong 	詞窮	c=1 d=0.0146986 t=35298
ci ren 	此人	c=1 d=6.62389e-08 t=35298
ci shi 	此時	c=2 d=3.24764e-05 t=35298
ci shu 	次數	c=19 d=2.08024 t=35298
ci tie 	磁鐵	c=1 d=3.40939e-18 t=35298
ci yuan 	次元	c=1 d=4.75704e-25 t=35298
ci zhi 	辭職	c=2 d=5.1997e-13 t=35298
cong 	從	c=10 d=2.97455e-09 t=35298
cong ming 	聰明	c=1 d=0.00701293 t=35298
cong wo 	從我	c=1 d=1.32701e-05 t=35298
cou ge 	凑个	c=1 d=4.28887e-12 t=35298
cou re nao 	湊熱鬧	c=1 d=1.11818e-20 t=35298
cui 	催	c=5 d=6.90333e-23 t=35298
cui can 	摧殘	c=1 d=6.61799e-27 t=35298
cui cu 	催促	c=1 d=8.40314e-13 t=35298
cun 	存	c=5 d=2.05018e-05 t=35298
cun 	寸	c=3 d=1.00327e-09 t=35298
cun 	村	c=4 d=9.54341e-10 t=35298
cun chu 	存儲	c=3 d=0.00402597 t=35298
cun kuan 	存款	c=2 d=0.00155699 t=35298
cun ru 	存入	c=1 d=1 t=31622
cun yi 	存疑	c=1 d=1.44523e-09 t=35298
cun zai 	存在	c=18 d=0.00102123 t=35298
cun zhe 	存着	c=1 d=5.31488e-06 t=35298
cuo 	厝	c=1 d=4.2177e-21 t=35298
cuo 	錯	c=7 d=1.25528e-05 t=35298
cuo le 	錯了	c=1 d=8.85535e-12 t=35298
cuo wu 	錯誤	c=59 d=1.05116 t=35298
d l 	[打脸]	c=1 d=3.43173e-36 t=35298
da 	噠	c=4 d=2.09993e-07 t=35298
da 	大	c=21 d=0.268917 t=35298
da 	打	c=15 d=0.00785515 t=35298
da 	搭	c=1 d=3.10357e-30 t=35298
da 	達	c=1 d=2.19353e-06 t=35298
da ba 	大把	c=1 d=1.47187e-18 t=35298
da bao 	打包	c=3 d=0.000111109 t=35298
da biao 	達標	c=1 d=3.15165e-05 t=35298
da bing 	大餅	c=1 d=1.37142e-10 t=35298
da bu fen 	大部分	c=9 d=0.000733884 t=35298
da da da 	哒哒哒	c=1 d=5.18456e-08 t=35298
da dao 	達到	c=2 d=2.71116e-28 t=35298
da de 	打得	c=0 d=1.92645e-09 t=35298
da de tong 	打得通	c=1 d=1.93611e-08 t=35298
da dian hua 	打電話	c=1 d=4.62368e-14 t=35298
da fa shi 	大法師	c=0 d=2.01444e-05 t=35298
da gai 	大概	c=6 d=0.000176005 t=35298
da gong 	打工	c=5 d=0.00013573 t=35298
da gong ren 	打工人	c=3 d=1.02194 t=33568
da gong si 	大公司	c=1 d=1.71717e-08 t=35298
da huan jing 	大環境	c=1 d=1.39092e-29 t=35298
da hui 	大會	c=0 d=1.32584e-25 t=35298
da hui yuan 	大會員	c=2 d=1.77735e-23 t=35298
da jia 	大家	c=5 d=0.0665375 t=35298
da jian 	搭建	c=2 d=1.07324e-08 t=35298
da ka 	打卡	c=6 d=7.80045e-12 t=35298
da kai 	打開	c=23 d=0.501882 t=35298
da keng 	大坑	c=1 d=3.94607e-32 t=35298
da lao 	大佬	c=224 d=2.91589 t=35298
da le 	打了	c=1 d=0.00215492 t=35298
da li 	大力	c=1 d=6.46363e-14 t=35298
da lian 	大連	c=1 d=1.3552e-17 t=35298
da lian 	打脸	c=1 d=3.13699e-09 t=35298
da liang 	大量	c=1 d=8.87374e-07 t=35298
da ma 	大媽	c=1 d=1.39168e-06 t=35298
da mao 	大貓	c=1 d=0.000234044 t=35298
da pei 	搭配	c=1 d=0.00211225 t=35298
da peng 	大棚	c=1 d=1.71245e-05 t=35298
da qu 	大區	c=10 d=0.000103656 t=35298
da rao 	打擾	c=1 d=2.14783e-24 t=35298
da rao le 	打擾了	c=1 d=2.1586e-23 t=35298
da ren 	大人	c=1 d=9.09683e-05 t=35298
da ren 	打人	c=3 d=4.33734e-07 t=35298
da ren 	達人	c=17 d=0.126463 t=35298
da sheng 	大聲	c=2 d=1.02072e-06 t=35298
da shi 	大事	c=1 d=2.18065e-25 t=35298
da shi 	大師	c=1 d=0.000978001 t=35298
da si 	打死	c=1 d=5.73664e-22 t=35298
da suan 	打算	c=6 d=0.000146278 t=35298
da ta 	打他	c=1 d=6.05274e-06 t=35298
da tang 	大唐	c=1 d=5.08362e-12 t=35298
da te 	达特	c=1 d=1.25924e-07 t=35298
da tu 	大圖	c=1 d=1.14965e-23 t=35298
da wo 	打我	c=1 d=4.9804e-06 t=35298
da xiao 	大小	c=2 d=4.31857e-05 t=35298
da xiao qu 	大小區	c=1 d=1.26577e-08 t=35298
da xiao qu 	打小區	c=2 d=8.57262e-05 t=35298
da xie 	大寫	c=3 d=1.07335e-22 t=35298
da xue 	大學	c=2 d=0.0144798 t=35298
da xue sheng 	大學生	c=1 d=0.50409 t=35298
da yan ta 	大雁塔	c=1 d=0.0037164 t=35298
da ye 	大爺	c=2 d=0.00449405 t=35298
da yin 	打印	c=5 d=1.62983e-09 t=35298
da ying 	答應	c=1 d=1.84131e-35 t=35298
da yu 	大於	c=11 d=0.0398773 t=35298
da zhong 	大衆	c=1 d=5.48047e-14 t=35298
da zhu 	打住	c=1 d=1.19783e-06 t=35298
dai 	帶	c=12 d=0.0257524 t=35298
dai 	待	c=8 d=0.0545133 t=35298
dai 	戴	c=2 d=1.39824e-29 t=35298
dai dai 	帶帶	c=2 d=4.44012e-08 t=35298
dai dai wo 	帶帶我	c=10 d=0.0902655 t=35298
dai hao 	戴好	c=1 d=3.40405e-29 t=35298
dai hui 	待會	c=1 d=1.54544e-33 t=35298
dai jia 	代價	c=1 d=0.000543297 t=35298
dai kuan 	貸款	c=3 d=2.45576e-11 t=35298
dai ma 	代碼	c=35 d=0.348732 t=35298
dai mei 	帶妹	c=1 d=9.00143e-28 t=35298
dai ni 	帶你	c=1 d=1.48131e-05 t=35298
dai shang 	帶上	c=1 d=1.44297e-20 t=35298
dai shen he 	待審覈	c=1 d=0.00038013 t=35298
dai ta 	帶他	c=1 d=0.0720785 t=35298
dai wa 	帶娃	c=1 d=1 t=35259
dai wo 	帶我	c=11 d=0.0258943 t=35298
dai xin 	帶薪	c=1 d=1.01074e-08 t=35298
dai zhen 	待診	c=1 d=1.03612e-35 t=35298
dai zi 	袋子	c=4 d=0.151951 t=35298
dan 	但	c=6 d=0.000192113 t=35298
dan 	單	c=10 d=9.19601e-07 t=35298
dan 	膽	c=3 d=3.29877e-05 t=35298
dan ci 	單次	c=8 d=5.40882e-06 t=35298
dan ci 	單詞	c=3 d=2.57457e-08 t=35298
dan du 	單獨	c=2 d=5.78739e-08 t=35298
dan ge 	單個	c=8 d=0.00202199 t=35298
dan hang 	单行	c=1 d=3.0532e-14 t=35298
dan ji 	單擊	c=1 d=0.107528 t=35298
dan ji 	單機	c=1 d=0.0342181 t=35298
dan jian 	單間	c=2 d=0.0187793 t=35298
dan mu 	彈幕	c=1 d=1.72127e-36 t=35298
dan shen 	單身	c=5 d=0.178175 t=35298
dan shi 	但是	c=23 d=1.33457 t=35298
dan wei 	單位	c=1 d=2.64559e-34 t=35298
dan xia 	彈匣	c=3 d=0.00166156 t=35298
dan xin 	擔心	c=1 d=1.65694e-29 t=35298
dan yuan ge 	單元格	c=2 d=7.05825e-10 t=35298
dan zi 	單子	c=1 d=6.75768e-08 t=35298
dang 	當	c=14 d=0.0623507 t=35298
dang an 	檔案	c=1 d=1.3505e-35 t=35298
dang bing 	當兵	c=1 d=5.86467e-17 t=35298
dang cheng 	當成	c=1 d=0.00150344 t=35298
dang ji 	宕機	c=1 d=0.000147011 t=35298
dang qian 	當前	c=22 d=0.0403652 t=35298
dang ri 	當日	c=3 d=1.10841e-05 t=35298
dang shi 	當時	c=1 d=7.95481e-15 t=35298
dang tian 	當天	c=4 d=0.00133343 t=35298
dang wo 	當我	c=1 d=1 t=31891
dang xia 	當下	c=2 d=8.94778e-08 t=35298
dang zai 	擋在	c=1 d=9.40102e-39 t=35298
dang zhu 	擋住	c=1 d=1.05726e-08 t=35298
dang zuo 	當作	c=3 d=0.12938 t=35298
dao 	到	c=149 d=0.815856 t=35298
dao 	島	c=1 d=6.3828e-13 t=35298
dao 	盜	c=1 d=5.03045e-06 t=35298
dao ban 	盜版	c=1 d=1.54949e-05 t=35298
dao bi 	倒閉	c=2 d=0.00558548 t=35298
dao chang 	道場	c=1 d=3.81763e-25 t=35298
dao chu 	到處	c=2 d=1.87372e-05 t=35298
dao chu 	導出	c=14 d=3.8794e-08 t=35298
dao di 	倒地	c=1 d=0.00360656 t=35298
dao di 	到底	c=1 d=2.61304e-06 t=35298
dao gang 	到岗	c=1 d=4.59733e-35 t=35298
dao jia 	到家	c=2 d=0.00181795 t=35298
dao jian shen yu 	刀剑神域	c=1 d=9.93458e-12 t=35298
dao le 	到了	c=3 d=0.0368832 t=35298
dao li 	道理	c=1 d=5.0313e-08 t=35298
dao liu 	倒流	c=1 d=9.00784e-07 t=35298
dao na 	到哪	c=1 d=1.60797e-29 t=35298
dao nei 	島內	c=1 d=0.0198411 t=35298
dao shi 	倒是	c=1 d=5.77836e-19 t=35298
dao shou 	到手	c=3 d=0.00752142 t=35298
dao tu 	盜圖	c=1 d=0.0112769 t=35298
dao tui 	倒推	c=1 d=1.84069e-31 t=35298
dao wai 	島外	c=3 d=0.0202419 t=35298
dao xu 	倒序	c=2 d=1.13941e-06 t=35298
dao zhang 	到帳	c=8 d=3.36331e-05 t=35298
dao zhe 	到這	c=1 d=0.396531 t=35298
dao zhi 	導致	c=11 d=0.242926 t=35298
dao zhi de 	導致的	c=1 d=2.52659e-22 t=35298
dao zhu 	岛主	c=1 d=6.28777e-13 t=35298
de 	得	c=4 d=0.00386807 t=35298
de 	的	c=1454 d=9.89526 t=35298
de dao 	得到	c=7 d=0.000675539 t=35298
de xing 	德性	c=2 d=0.118837 t=35298
deng 	等	c=50 d=1.4857 t=35298
deng bao 	等保	c=1 d=1 t=34319
deng bi 	等比	c=1 d=1.0507e-23 t=35298
deng dai 	等待	c=1 d=1 t=33720
deng dao 	等到	c=3 d=0.000156885 t=35298
deng deng 	等等	c=1 d=1.01736e-26 t=35298
deng ji 	等級	c=29 d=0.157568 t=35298
deng le 	等了	c=1 d=4.60845e-34 t=35298
deng lu 	登錄	c=24 d=0.632695 t=35298
deng ni 	等你	c=1 d=3.13699e-09 t=35298
deng pao 	燈泡	c=1 d=0.0256042 t=35298
deng wo 	等我	c=4 d=9.09837e-07 t=35298
deng xia 	等下	c=5 d=0.000388211 t=35298
deng yi xia 	等一下	c=1 d=0.0174224 t=35298
deng yu 	等於	c=5 d=0.0291588 t=35298
di 	低	c=5 d=7.37042e-18 t=35298
di 	地	c=4 d=1.81834e-05 t=35298
di 	底	c=4 d=4.84654e-09 t=35298
di 	第	c=1 d=1.29826e-12 t=35298
di ban 	地板	c=1 d=0.0185924 t=35298
di bu 	底部	c=2 d=1.92645e-08 t=35298
di ceng 	底層	c=1 d=4.35442e-14 t=35298
di di 	弟弟	c=2 d=1.3354e-21 t=35298
di er 	第二	c=7 d=9.54179e-08 t=35298
di er ci 	第二次	c=1 d=1.60468e-05 t=35298
di er ge 	第二個	c=1 d=3.69912e-07 t=35298
di er tian 	第二天	c=1 d=2.73935e-32 t=35298
di fang 	地方	c=14 d=0.000885179 t=35298
di gai 	底盖	c=1 d=2.33479e-05 t=35298
di gua 	地瓜	c=4 d=0.0315942 t=35298
di gua fan 	地瓜飯	c=1 d=0.00932553 t=35298
di gui 	遞歸	c=1 d=3.59225e-15 t=35298
di ming 	地名	c=1 d=0.00235786 t=35298
di pi 	地皮	c=2 d=4.55794e-22 t=35298
di qiu 	地球	c=1 d=1.78725e-08 t=35298
di qu 	地區	c=1 d=6.8219e-31 t=35298
di ren 	敵人	c=1 d=0.000389752 t=35298
di san 	第三	c=1 d=1 t=33694
di san fang 	第三方	c=3 d=0.000365224 t=35298
di shang 	地上	c=3 d=4.77803e-07 t=35298
di shu zhi 	低數值	c=1 d=4.48459e-37 t=35298
di tan 	地攤	c=1 d=4.10014e-12 t=35298
di tie 	地鐵	c=9 d=0.481107 t=35298
di tie zhan 	地鐵站	c=1 d=2.19995e-11 t=35298
di tu 	地圖	c=12 d=2.33184 t=35298
di wen 	低溫	c=2 d=0.00525092 t=35298
di xia 	地下	c=1 d=0.00423234 t=35298
di xia 	底下	c=1 d=0.00427488 t=35298
di yi 	第一	c=6 d=2.22145e-06 t=35298
di yi ci 	第一次	c=1 d=1.58871e-05 t=35298
di yi dan 	第一單	c=1 d=1.78695e-06 t=35298
di yi dian 	第一點	c=1 d=1 t=33249
di yi ge 	第一個	c=8 d=5.40825e-05 t=35298
di yi ming 	第一名	c=1 d=1.0934e-21 t=35298
di yi xie 	低一些	c=1 d=4.21985e-27 t=35298
di zhi 	地址	c=27 d=2.38976 t=35298
dian 	丶	c=2 d=0.00179994 t=35298
dian 	店	c=4 d=0.00137882 t=35298
dian 	電	c=5 d=0.0223708 t=35298
dian 	點	c=55 d=0.142348 t=35298
dian can 	點餐	c=1 d=6.34665e-05 t=35298
dian che 	🚃	c=1 d=0.126186 t=35298
dian chi 	電池	c=3 d=0.126818 t=35298
dian chi 	🔋	c=1 d=5.23025e-23 t=35298
dian dong 	電動	c=1 d=0.00104368 t=35298
dian fei 	電費	c=9 d=7.23021e-09 t=35298
dian feng shan 	電風扇	c=0 d=1.14294e-14 t=35298
dian hua 	電話	c=7 d=0.680478 t=35298
dian hua ka 	電話卡	c=1 d=1.45598e-08 t=35298
dian ji 	點擊	c=8 d=0.445165 t=35298
dian lao tie 	電烙鐵	c=1 d=1.60769e-27 t=35298
dian le 	點了	c=1 d=3.81568e-19 t=35298
dian nao 	電腦	c=15 d=0.0896771 t=35298
dian ping 	點評	c=1 d=5.50793e-14 t=35298
dian pu 	店鋪	c=1 d=0.000898306 t=35298
dian qi 	電器	c=1 d=7.28523e-10 t=35298
dian shi 	電視	c=1 d=0.299692 t=35298
dian xin 	電信	c=4 d=0.00988219 t=35298
dian xin 	點心	c=1 d=4.25428e-05 t=35298
dian xing 	典型	c=2 d=4.31931e-07 t=35298
dian ying 	電影	c=6 d=0.275271 t=35298
dian zan 	點讚	c=2 d=0.000243596 t=35298
dian zhu 	店主	c=1 d=7.95346e-13 t=35298
dian zi 	電子	c=1 d=0.00377257 t=35298
diao 	叼	c=2 d=1.16865e-10 t=35298
diao 	掉	c=7 d=0.011165 t=35298
diao 	調	c=1 d=1.9132e-15 t=35298
diao jie fa 	調節閥	c=0 d=5.43332e-31 t=35298
diao jie fa la ji dui fen lei ji shen kuan da fang jian li kai sa jiang de 	調節閥垃圾堆分類機身寬大房間裏凱撒醬的	c=1 d=5.46054e-30 t=35298
diao le 	掉了	c=1 d=0.00194013 t=35298
diao luo 	掉落	c=2 d=0.000435072 t=35298
diao lv 	掉率	c=2 d=0.00844284 t=35298
diao min 	刁民	c=1 d=9.40132e-10 t=35298
diao xian 	掉線	c=1 d=3.37249e-37 t=35298
diao yan 	調研	c=0 d=0.1 t=32005
diao yong 	調用	c=16 d=0.92817 t=35298
diao yu 	釣魚	c=3 d=0.00118265 t=35298
die 	蝶	c=3 d=0.00551655 t=35298
die 	跌	c=5 d=0.000135035 t=35298
die die 	爹爹	c=1 d=2.01403e-31 t=35298
die ma 	爹媽	c=3 d=0.00158052 t=35298
ding 	定	c=5 d=0.00370766 t=35298
ding 	町	c=1 d=9.3062e-08 t=35298
ding ceng 	頂層	c=1 d=5.26915e-22 t=35298
ding dan 	訂單	c=16 d=0.804651 t=35298
ding ding 	釘釘	c=7 d=0.0176877 t=35298
ding ji 	頂級	c=2 d=0.000191263 t=35298
ding lou 	頂樓	c=2 d=2.36225e-12 t=35298
ding qi 	定期	c=1 d=3.35109e-21 t=35298
ding shi 	定時	c=6 d=0.000250675 t=35298
ding wei 	定位	c=2 d=1.56236e-35 t=35298
ding xiang 	定向	c=13 d=2.29207 t=35169
ding xiang bao 	定向包	c=16 d=1.01328 t=35036
ding yi 	定義	c=2 d=1.83138e-22 t=35298
ding zhi 	定製	c=1 d=0.000448321 t=35298
dong 	凍	c=1 d=0.00400585 t=35298
dong 	動	c=5 d=0.000485661 t=35298
dong 	懂	c=4 d=2.85911e-06 t=35298
dong 	東	c=1 d=0.000921047 t=35298
dong 	洞	c=1 d=0.00470091 t=35298
